Date,Link,Time_Until_Next_Sec,Estimated_Watch_Time_Sec
2026-01-28 01:50:14,https://www.tiktokv.com/share/video/7593570299845676319/,2.0,2.0
2026-01-28 01:49:45,https://www.tiktokv.com/share/video/7596805969414343991/,29.0,29.0
2026-01-28 01:49:22,https://www.tiktokv.com/share/video/7598712015972044054/,23.0,23.0
2026-01-27 22:17:10,https://www.tiktokv.com/share/video/7590505840914812215/,12732.0,
2026-01-27 22:17:08,https://www.tiktokv.com/share/video/7597983706850151694/,2.0,2.0
2026-01-27 21:19:31,https://www.tiktokv.com/share/video/7591198210761313566/,3457.0,
2026-01-27 21:19:30,https://www.tiktokv.com/share/video/7594735003087490335/,1.0,1.0
2026-01-27 21:19:25,https://www.tiktokv.com/share/video/7592330058413427998/,5.0,5.0
2026-01-27 21:19:19,https://www.tiktokv.com/share/video/7598233250858896671/,6.0,6.0
2026-01-27 21:19:18,https://www.tiktokv.com/share/video/7598376559824620831/,1.0,1.0
2026-01-27 14:20:03,https://www.tiktokv.com/share/video/7599436292472065302/,25155.0,
2026-01-27 14:19:49,https://www.tiktokv.com/share/video/7598361979161480461/,14.0,14.0
2026-01-27 14:19:35,https://www.tiktokv.com/share/video/7598912146797317390/,14.0,14.0
2026-01-27 14:19:13,https://www.tiktokv.com/share/video/7599052500439682318/,22.0,22.0
2026-01-27 14:18:54,https://www.tiktokv.com/share/video/7586009004296408350/,19.0,19.0
2026-01-27 14:18:53,https://www.tiktokv.com/share/video/7598995132142079245/,1.0,1.0
2026-01-27 14:18:52,https://www.tiktokv.com/share/video/7583523513596726583/,1.0,1.0
2026-01-27 14:18:38,https://www.tiktokv.com/share/video/7576769388704025878/,14.0,14.0
2026-01-27 14:18:36,https://www.tiktokv.com/share/video/7599887869318024478/,2.0,2.0
2026-01-27 14:18:05,https://www.tiktokv.com/share/video/7599724190723345695/,31.0,31.0
2026-01-27 14:17:00,https://www.tiktokv.com/share/video/7598246245097884941/,65.0,65.0
2026-01-27 14:16:54,https://www.tiktokv.com/share/video/7597941621262404894/,6.0,6.0
2026-01-27 14:16:45,https://www.tiktokv.com/share/video/7599133950958750990/,9.0,9.0
2026-01-27 14:15:08,https://www.tiktokv.com/share/video/7589237943731178774/,97.0,97.0
2026-01-27 14:15:05,https://www.tiktokv.com/share/video/7590750716940061982/,3.0,3.0
2026-01-27 14:14:49,https://www.tiktokv.com/share/video/7599136750115507477/,16.0,16.0
2026-01-27 14:14:28,https://www.tiktokv.com/share/video/7599363004517387542/,21.0,21.0
2026-01-27 14:14:22,https://www.tiktokv.com/share/video/7598673547774430477/,6.0,6.0
2026-01-27 14:14:07,https://www.tiktokv.com/share/video/7599038103742909714/,15.0,15.0
2026-01-27 14:13:55,https://www.tiktokv.com/share/video/7585423489184599318/,12.0,12.0
